prefix,customer_state
14409,SP
9790,SP
1151,SP
8775,SP
13056,SP
89254,SC
4534,SP
35182,MG
81560,PR
30575,MG
39400,MG
20231,RJ
18682,SP
5704,SP
95110,SC
13412,SP
22750,RJ
7124,SP
5416,SP
68485,PA
88034,SC
74914,GO
5713,SP
82820,PR
8225,SP
9121,SP
74310,GO
4571,SP
29311,ES
5528,SP
12235,SP
18130,SP
42800,BA
27525,RJ
81750,PR
13175,SP
7170,SP
93415,SC
65075,MA
88104,SC
7176,SP
35960,MG
5727,SP
7053,SP
14026,SP
30320,MG
38300,MG
18740,SP
83085,PR
5351,SP
39406,MG
14860,SP
21310,RJ
23970,RJ
79804,MS
5017,SP
75388,GO
85808,PR
60140,CE
72270,DF
2075,SP
96015,SC
90010,SC
22440,RJ
13323,SP
30190,MG
13212,SP
29307,ES
12280,SP
60336,CE
11310,SP
38408,MG
37720,MG
24431,RJ
5890,SP
3733,SP
83709,PR
11347,SP
26272,RJ
5415,SP
59655,RN
4548,SP
28010,RJ
13573,SP
2175,SP
37500,MG
90670,SC
9890,SP
13321,SP
44380,BA
27700,RJ
44033,BA
4537,SP
71540,DF
13569,SP
5565,SP
3636,SP
24120,RJ
65058,MA
2983,SP
4105,SP
89260,SC
62016,CE
35500,MG
8743,SP
71928,DF
4938,SP
2209,SP
25850,RJ
53437,PE
4710,SP
6382,SP
2632,SP
95765,SC
2631,SP
36780,MG
80050,PR
30664,MG
86990,PR
8490,SP
15015,SP
28909,RJ
32140,MG
38410,MG
86640,PR
91340,SC
14600,SP
85854,PR
30421,MG
9862,SP
8686,SP
7243,SP
89120,SC
88348,SC
95340,SC
96215,SC
71665,DF
12929,SP
78600,MT
4960,SP
6835,SP
9784,SP
73020,DF
88840,SC
37589,MG
5874,SP
39505,MG
66050,PA
37701,MG
32070,MG
11065,SP
12970,SP
22251,RJ
11035,SP
78557,MT
11440,SP
6401,SP
5590,SP
95770,SC
4679,SP
30330,MG
12270,SP
15050,SP
35160,MG
17602,SP
4427,SP
70750,DF
89031,SC
15275,SP
22290,RJ
3563,SP
88330,SC
20030,RJ
4723,SP
65430,MA
79130,MS
36855,MG
66055,PA
15054,SP
13142,SP
3951,SP
13214,SP
3127,SP
9030,SP
12240,SP
13045,SP
30830,MG
86806,PR
52070,PE
6290,SP
13270,SP
9040,SP
69049,AM
95595,SC
20561,RJ
97700,SC
8340,SP
97340,SC
78580,MT
